,agencyId,id,propertyDetailsUrl,agencyName,agencyProfilePageUrl,agent,bathrooms,bedrooms,carspaces,postcode,propertyType,result,state,streetName,streetNumber,streetType,suburb,geoLocation.latitude,geoLocation.longitude,unitNumber,price
842,29856,2018033886,https://www.domain.com.au/54a-waterloo-street-heathmont-vic-3135-2018033886,OBrien Real Estate Ringwood,https://www.domain.com.au/real-estate-agencies/obrienrealestateringwood-29856,OBrien Real Estate Ringwood,2.0,4,2.0,3135,House,PTSD,Vic,Waterloo,54A,St,Heathmont,-37.8370615,145.2354371,,
843,6011,2018063478,https://www.domain.com.au/2-26-manton-street-heidelberg-vic-3084-2018063478,Miles Real Estate Ivanhoe,https://www.domain.com.au/real-estate-agencies/milesrealestateivanhoe-6011,Miles Real Estate Ivanhoe,2.0,2,2.0,3084,Unit,AUSD,Vic,Manton,26,St,Heidelberg,-37.7495271,145.0676785,2,825000.0
844,6011,2018022964,https://www.domain.com.au/2-88-darebin-street-heidelberg-vic-3084-2018022964,Miles Real Estate Ivanhoe,https://www.domain.com.au/real-estate-agencies/milesrealestateivanhoe-6011,Miles Real Estate Ivanhoe,1.0,2,1.0,3084,Unit,PTSD,Vic,Darebin,88,St,Heidelberg,-37.753223,145.059759,2,680000.0
845,15501,2018007269,https://www.domain.com.au/6-thames-street-heidelberg-heights-vic-3081-2018007269,Nelson Alexander Ivanhoe,https://www.domain.com.au/real-estate-agencies/nelsonalexanderivanhoe-15501,Nelson Alexander Ivanhoe,2.0,4,2.0,3081,House,PTSD,Vic,Thames,6,St,Heidelberg Heights,-37.75276350000001,145.0556685,,
846,34825,2017970132,https://www.domain.com.au/2-178-oriel-road-heidelberg-west-vic-3081-2017970132,Harcourts Coburg,https://www.domain.com.au/real-estate-agencies/harcourtscoburg-34825,HAR Coburg,2.0,3,2.0,3081,Townhouse,PTSD,Vic,Oriel,178,Rd,Heidelberg West,-37.7465471,145.0422103,2,
847,12449,2017973850,https://www.domain.com.au/513-waterdale-road-heidelberg-west-vic-3081-2017973850,Ray White Bundoora,https://www.domain.com.au/real-estate-agencies/raywhitebundoora-12449,Ray White Bundoora,1.0,3,2.0,3081,House,PTSD,Vic,Waterdale,513,Rd,Heidelberg West,-37.7397855,145.0479379,,750000.0
848,34152,2017682913,https://www.domain.com.au/119-main-road-hepburn-springs-vic-3461-2017682913,Jellis Craig Daylesford,https://www.domain.com.au/real-estate-agencies/jelliscraigdaylesford-34152,Jellis Craig Daylesford,4.0,4,4.0,3461,House,PTSD,Vic,Main,119,Rd,Hepburn Springs,-37.3113006,144.1391023,,
849,5797,2017922894,https://www.domain.com.au/10-itkeston-street-herne-hill-vic-3218-2017922894,McGrath Geelong | Newtown,https://www.domain.com.au/real-estate-agencies/mcgrathgeelongnewtown-5797,McGrath Geelong ; Newtown,1.0,2,2.0,3218,House,PTSD,Vic,Itkeston,10,St,Herne Hill,-38.1342843,144.326627,,690000.0
850,14503,2018061325,https://www.domain.com.au/19-bakewell-street-herne-hill-vic-3218-2018061325,Buxton Newtown,https://www.domain.com.au/real-estate-agencies/buxtonnewtown-14503,Buxton Newtown,1.0,3,2.0,3218,House,AUPI,Vic,Bakewell,19,St,Herne Hill,-38.1315857,144.3217391,,
851,3309,2018007093,https://www.domain.com.au/35-scott-street-heywood-vic-3304-2018007093,Assets Real Estate Portland & Heywood,https://www.domain.com.au/real-estate-agencies/assetsrealestateportlandheywood-3309,Assets Real Estate Portland & Heywo,1.0,2,2.0,3304,House,PTSD,Vic,Scott,35,St,Heywood,-38.1320573,141.6260005,,282000.0
